from,to
1,274981
1,65016
1,43284
1,647
1,485
1,409
1,12
1,311
1,281
281,17817
281,64317
281,68158
281,65074
281,18250
281,56189
281,41956
281,50468
281,10484
281,25844
281,38766
281,76959
281,36611
281,77563
281,45338
281,61059
281,58170
281,79584
281,18328
281,33055
281,89007
281,95531
281,118335
281,118340
281,117290
281,118303
281,107326
281,119898
281,120705
281,121379
281,123309
281,123669
281,124679
281,125144
281,126017
281,103547
281,133954
281,115554
281,134825
281,135288
120705,9711
120705,224731
120705,34796
120705,6028
120705,50468
120705,58170
120705,38766
120705,62658
120705,102377
120705,230783
120705,94678
120705,95012
120705,74774
120705,39710
120705,95014
120705,95021
120705,50994
120705,25133
120705,74476
120705,94963
120705,42860
120705,90616
120705,45974
120705,88734
120705,95134
120705,95013
120705,33788
120705,5560
120705,73816
120705,94990
120705,95174
120705,94807
120705,95192
120705,39423
120705,36711
120705,27812
120705,95236
120705,94498
120705,4584
120705,86965
120705,9711
120705,224731
120705,34796
120705,6028
120705,50468
120705,58170
120705,38766
120705,62658
120705,102377
120705,230783
120705,94678
120705,95012
120705,74774
120705,39710
120705,95014
120705,95021
120705,50994
120705,25133
120705,74476
120705,94963
120705,42860
120705,90616
120705,45974
120705,88734
120705,95134
120705,95013
120705,33788
120705,5560
120705,73816
120705,94990
120705,95174
120705,94807
120705,95192
120705,39423
120705,36711
120705,27812
120705,95236
120705,94498
120705,4584
120705,86965
120705,9711
120705,224731
120705,34796
120705,6028
120705,50468
120705,58170
120705,38766
120705,62658
120705,102377
120705,230783
120705,94678
120705,95012
120705,74774
120705,39710
120705,95014
120705,95021
120705,50994
120705,25133
120705,74476
120705,94963
120705,42860
120705,90616
120705,45974
120705,88734
120705,95134
120705,95013
120705,33788
120705,5560
120705,73816
120705,94990
120705,95174
120705,94807
120705,95192
120705,39423
120705,36711
120705,27812
120705,95236
120705,94498
120705,4584
120705,86965
120705,9711
120705,224731
120705,34796
120705,6028
120705,50468
120705,58170
120705,38766
120705,62658
120705,102377
120705,230783
120705,94678
120705,95012
120705,74774
120705,39710
120705,95014
120705,95021
120705,50994
120705,25133
120705,74476
120705,94963
120705,42860
120705,90616
120705,45974
120705,88734
120705,95134
120705,95013
120705,33788
120705,5560
120705,73816
120705,94990
120705,95174
120705,94807
120705,95192
120705,39423
120705,36711
120705,27812
120705,95236
120705,94498
120705,4584
120705,86965
120705,9711
120705,224731
120705,34796
120705,6028
120705,50468
120705,58170
120705,38766
120705,62658
120705,102377
120705,230783
120705,94678
120705,95012
120705,74774
120705,39710
120705,95014
120705,95021
120705,50994
120705,25133
120705,74476
120705,94963
120705,42860
120705,90616
120705,45974
120705,88734
120705,95134
120705,95013
120705,33788
120705,5560
120705,73816
120705,94990
120705,95174
120705,94807
120705,95192
120705,39423
120705,36711
120705,27812
120705,95236
120705,94498
120705,4584
120705,86965
120705,9711
120705,224731
120705,34796
120705,6028
120705,50468
120705,58170
120705,38766
120705,62658
120705,102377
120705,230783
120705,94678
120705,95012
120705,74774
120705,39710
120705,95014
120705,95021
120705,50994
120705,25133
120705,74476
120705,94963
120705,42860
120705,90616
120705,45974
120705,88734
120705,95134
120705,95013
120705,33788
120705,5560
120705,73816
120705,94990
120705,95174
120705,94807
120705,95192
120705,39423
120705,36711
120705,27812
120705,95236
120705,94498
120705,4584
120705,86965
120705,9711
120705,224731
120705,34796
120705,6028
120705,50468
120705,58170
120705,38766
120705,62658
120705,102377
120705,230783
120705,94678
120705,95012
120705,74774
120705,39710
120705,95014
120705,95021
120705,50994
120705,25133
120705,74476
120705,94963
120705,42860
120705,90616
120705,45974
120705,88734
120705,95134
120705,95013
120705,33788
120705,5560
120705,73816
120705,94990
120705,95174
120705,94807
120705,95192
120705,39423
120705,36711
120705,27812
120705,95236
120705,94498
120705,4584
120705,86965
120705,9711
120705,224731
120705,34796
120705,6028
120705,50468
120705,58170
120705,38766
120705,62658
120705,102377
120705,230783
120705,94678
120705,95012
120705,74774
120705,39710
120705,95014
120705,95021
120705,50994
120705,25133
120705,74476
120705,94963
120705,42860
120705,90616
120705,45974
120705,88734
120705,95134
120705,95013
120705,33788
120705,5560
120705,73816
120705,94990
120705,95174
120705,94807
120705,95192
120705,39423
120705,36711
120705,27812
120705,95236
120705,94498
120705,4584
120705,86965
