from,to
144448,8598
8598,27411
142631,125092
125092,117868
117868,69495
69495,100737
100737,280575
280575,216999
216999,10290
10290,330937
330937,3618
3618,305858
148608,104448
104448,993
993,258187
98974,16
16,81887
81887,72587
72587,50813
50813,121032
64253,65335
65335,63946
63946,99088
99088,22598
22598,74942
74942,116360
116360,9564
9564,3554
3554,51529
51529,150657
150657,137138
137138,148490
148490,8598
8598,54438
54438,63605
63605,248352
248352,154564
154564,282760
282760,315854
315854,222784
222784,437437
437437,33202
33202,112317
112317,185481
185481,11636
11636,17562
17562,211682
211682,461355
461355,105481
105481,188222
188222,136361
136361,163784
163784,7080
7080,152714
152714,31285
31285,178462
178462,5423
5423,15732
15732,177237
177237,1969
1969,309150
309150,3618
3618,343677
3618,337677
24279,6501
6501,210102
210102,112333
112333,23054
23054,154709
28204,11888
11888,278
278,219276
219276,43746
43746,339890
