from,to
86528,61172
41231,7502
41231,34939
41231,41448
41231,40731
41564,178462
41564,108344
41564,107326
41564,125144
41564,55446
41564,75806
41564,2759
41564,17984
41564,101739
41564,3100
41564,8598
41564,95929
41564,81887
41564,6848
41564,21365
41564,88305
41564,62240
41564,557
41564,1923
41564,46876
41564,1043
41564,21287
41564,40581
41564,41994
41564,4020
41564,59594
41564,12
41564,6902
91004,3781
36535,11444
75291,74354
93791,142409
93791,137367
93791,137087
93791,107792
93791,14408
93791,74102
93791,62124
93791,75950
93791,48775
93791,68678
93791,61928
93791,91793
93791,90463
93791,94733
93791,2497
93791,54706
93791,9977
93791,7846
93791,87005
93791,53995
93791,64023
93791,64025
93791,95912
93791,26506
93791,98268
93791,80973
93791,78160
93791,89822
93791,40775
93791,78642
93791,680
93791,31189
93791,23054
93791,64514
93791,81887
93791,96854
93791,96339
93791,95929
93791,97054
93791,97350
121348,225423
121348,218777
121348,199537
121348,2948
121348,4910
121348,343196
121348,174331
121348,318205
121348,311237
121348,4020
121348,5418
121348,185198
121348,217239
121348,185372
121348,144058
121348,275722
121348,275450
121348,7846
121348,136212
121348,177469
121348,46876
121348,100701
121348,96971
121348,42192
121348,162787
121348,65664
121348,42621
94620,281048
94620,189113
94620,59953
94620,194140
94620,162729
94620,221021
94620,96971
94620,91
94620,268539
94620,343196
55829,54678
21123,343196
21123,6481
21123,218777
21123,199862
21123,227018
21123,4020
21123,228957
21123,137401
21123,81844
21123,224003
21123,2857
21123,135850
21123,5008
21123,166059
21123,5546
21123,56609
21123,160235
21123,212380
21123,154831
21123,22232
21123,50159
21123,177469
21123,188242
21123,28547
21123,211489
21123,207090
21123,206934
21123,42192
21123,22843
21123,21365
21123,167871
21123,152654
21123,9948
21123,196506
21123,42301
21123,53965
21123,153598
21123,193146
21123,60483
21123,19681
13304,10637
13304,56880
13304,41994
13304,281
13304,28204
13304,46876
13304,91983
13304,88821
13304,64514
13304,53995
13304,7846
13304,21704
13304,11475
90881,35333
90881,80973
90881,75806
90881,79064
90881,17984
90881,54878
90881,114942
90881,96971
90881,117109
90881,121032
90881,77318
90881,1361
90881,86713
90881,58056
90881,38387
108866,4196
108866,4179
43654,8056
47451,12
47451,24587
82740,234758
82740,4489
82740,9592
82740,96532
82740,7222
82740,40581
82740,1043
82740,41994
82740,110795
82740,2484
82740,42621
82740,60947
82740,50506
82740,75436
82740,25447
82740,106526
82740,2497
82740,1299
82740,1646
82740,287
82740,46876
82740,68321
82740,81931
82740,4020
82740,12
16266,12
63740,32661
82561,61172
115003,51773
14945,13670
90980,61127
154066,154065
85008,61172
156109,108846
156109,144584
42732,2409
43274,221578
39936,39786
19803,64233
124586,9581
124586,112876
75820,70489
26052,64514
26052,46876
26052,25635
26052,25898
26052,28055
26052,28204
26052,26346
26052,27096
26052,25404
26052,21925
26052,24876
33102,33402
33102,32878
156040,493159
156040,330832
156040,283543
156040,315467
156040,82310
156040,52373
156040,274651
156040,283576
156040,54808
156040,207815
156040,282541
156040,13359
156040,39831
156040,280454
156040,136240
156040,8727
156040,224669
156040,25524
156040,4413
156040,149693
156040,185906
156040,81709
156040,55827
156040,38056
156040,102040
13196,154652
13196,52461
13196,121032
13196,6755
14707,6256
14707,28497
14707,78480
14707,104978
14707,30218
14707,2410
14707,2423
14707,8839
14707,6848
14707,2333
14707,21494
14707,3466
14707,15172
14707,2759
14707,3100
14707,2273
14707,10493
14707,5578
48751,243328
48751,45113
48751,2383
160866,26935
42615,54253
42615,43001
42615,42909
107384,214477
107384,136063
6484,1659
6484,1361
6484,8768
6484,12
6484,3100
60484,149690
60484,45998
60484,63105
60484,88324
60484,155813
60484,118944
60484,207090
60484,165543
60484,144047
60484,221869
60484,156490
60484,82282
60484,90341
60484,4131
60484,40436
60484,212412
60484,156822
60484,7442
60484,109753
60484,117100
60484,116605
60484,137329
60484,80973
60484,121032
60484,135819
60484,116744
60484,88837
60484,1361
60484,7846
60484,59987
40639,38767
3981,203220
3981,60746
3981,188219
3981,22026
3981,162851
3981,173877
3981,11721
3981,135732
3981,77200
3981,156000
3981,74195
3981,155830
3981,7545
3981,172088
3981,144981
3981,197315
3981,42467
3981,12070
3981,111170
3981,179103
3981,1944
3981,30676
3981,977
3981,9635
3981,55822
3981,19390
3981,162745
3981,144058
3981,134552
3981,154051
3981,56404
3981,63909
3981,61426
3981,151208
3981,20662
3981,24508
3981,77328
3981,148790
3981,90412
3981,27941
89781,26659
89781,12
89781,6848
89781,9635
89781,3100
66541,5282
47639,11522
47639,61381
47639,12
82455,61172
81162,61172
8015,52475
8015,29546
8015,34689
79836,61172
30066,35872
30066,33202
30066,4020
30066,996
30066,12261
30066,7865
30066,17893
30066,25613
30066,10142
3389,4195
76436,7593
1638,59194
1638,53995
1638,7846
1638,86713
34965,45741
34965,100016
34965,104234
34965,108344
34965,177883
34965,170717
34965,164528
34965,178608
34965,164665
34965,135499
34965,176588
34965,175699
34965,152635
34965,140398
34965,60132
34965,137329
34965,163784
34965,64078
34965,166223
34965,76984
34965,27096
34965,162368
34965,152712
34965,152702
34965,152714
34965,158753
34965,152715
34965,162575
34965,154831
34965,152474
34965,161890
34965,138607
34965,79160
34965,141856
34965,152191
34965,154890
34965,138669
34965,149539
34965,150143
34965,60344
78653,61172
142530,5916
142530,108256
142530,34861
84630,100004
84630,3423
73970,8598
73970,21935
73970,1054
93741,178853
93741,72209
93741,162787
93741,167323
93741,64514
93741,3956
93741,95929
93741,96339
93741,5318
93741,4452
93741,1946
93741,41755
93741,36130
93741,77169
93741,52461
93741,97151
93741,75436
93741,100701
93741,91868
93741,79233
93741,29584
93741,64974
93741,35586
93741,287
93741,47947
93741,115636
93741,17509
93741,123309
93741,138022
93741,109753
93741,140389
93741,64078
93741,153118
93741,121243
93741,140509
93741,52437
93741,107326
93741,74789
93741,28204
93741,120705
56910,176045
56910,111280
56910,52438
56910,12
14140,832
37178,100701
37178,120705
37178,96971
37178,64078
36801,7082
36801,13577
36801,7865
36801,33712
36801,27693
36801,3781
36801,28750
36801,23010
36801,32757
36801,27458
36801,26337
36801,29035
36801,5009
36801,28336
36801,182
36801,1797
36801,34050
84954,61172
