from,to
9730,29088
29088,31441
31441,2983
2983,26580
26580,59540
59540,40704
40704,88837
88837,108243
108243,30808
30808,5368
5368,8056
156981,156705
141541,205673
205673,53995
53995,161959
160255,160414
3163,96971
96971,323435
323435,173210
173210,312098
312098,40863
40863,312098
312098,147912
147912,12303
12303,55509
55509,173491
173491,100701
100701,220892
220892,53995
53995,233006
158190,6056
6056,15270
15270,11175
11175,7661
7661,51546
51546,26738
26738,7661
7661,8506
8506,12889
12889,7661
7661,6955
6955,168312
168312,172268
172268,172390
172390,173018
173018,185824
185824,173018
173018,172390
173018,178588
178588,173018
173018,172268
172268,171483
171483,96971
96971,71900
71900,193334
193334,227733
227733,428534
428534,430318
430318,336678
336678,440829
440829,323279
323279,3133
3133,337087
337087,441810
441810,261312
82561,61172
61172,232312
53964,52763
40969,9090
9090,2592
2592,7141
7141,426824
426824,7141
7141,134651
134651,7141
7141,5442
5442,120705
120705,39423
67157,66523
66523,75436
75436,7622
89582,7186
7186,427
427,12932
12932,1592
1592,251089
251089,10982
10982,2410
2410,104332
104332,108963
108963,7542
7542,108571
108571,118479
118479,78480
78480,259924
259924,78480
78480,25710
25710,281
281,50468
50468,4672
4672,105665
105665,56705
56705,3809
3809,7450
7450,59483
59483,202903
202903,36616
36616,160996
160996,9682
13603,50316
50316,100701
100701,337308
337308,30613
30613,33650
33650,46876
46876,290881
290881,40086
40086,177883
177883,22352
22352,178853
178853,185881
185881,18671
18671,15959
15959,28497
28497,18354
18354,157468
157468,52461
52461,221675
221675,214477
43418,62240
62240,141856
141856,224003
224003,94028
94028,120705
120705,42860
90716,8478
8478,90716
8478,5846
5846,58923
58923,1336
1336,57780
57780,102543
102543,12
12,222903
120662,281
281,17817
17817,301349
301349,12
12,323655
42814,61381
61381,69374
69374,59671
79713,61172
61172,184417
147669,86900
86900,212865
212865,86900
86900,193826
193826,41024
41024,138623
138623,9674
9674,17849
17849,72881
72881,9674
9674,82126
82126,9674
9674,86442
86442,9674
9674,86998
86998,9674
9674,65278
65278,9674
17849,65278
65278,17849
17849,9674
86442,86973
86973,9674
9674,72881
72881,17849
17849,100987
100987,17849
17849,93629
93629,86713
86713,115929
115929,115932
115932,115929
115932,110375
110375,69887
69887,59953
59953,340936
340936,5418
5418,326461
326461,71617
71617,351060
351060,221021
221021,236020
236020,197374
197374,502923
502923,261312
81138,26697
26697,66434
66434,59076
59076,66434
66434,36580
36580,2297
2297,178462
178462,65940
65940,4372
4372,3457
3457,27932
27932,347787
347787,236020
236020,217114
217114,85893
85893,10290
10290,442719
442719,10290
10290,32015
32015,12
12,279910
143108,118678
118678,203796
203796,32739
32739,34689
34689,35009
35009,37063
37063,88837
88837,225287
225287,37119
37119,99949
99949,28204
28204,50468
4672,12393
12393,92499
92499,64514
64514,37449
37449,281
281,120705
120705,38766
38766,115224
115224,12
12,321139
321139,218576
218576,53822
53822,285947
285947,14115
14115,72785
72785,150143
150143,157067
157067,110660
110660,46876
46876,316310
316310,17984
17984,261102
261102,29584
29584,496677
496677,485224
485224,261312
41904,12
12,326619
86124,61172
61172,74256
74256,73863
73863,33546
33546,143597
143597,167323
167323,187878
187878,138189
138189,284210
284210,17984
17984,7965
7965,1645
1645,328082
26881,117002
117002,26881
117002,39225
39225,12
12,1431
1431,154385
154385,1645
1645,113547
80238,61172
61172,70834
70834,40680
